year,country_name,gdp,gdp_diff,gdp_growth_pct
2024,Россия,2173.84,nan,nan
2023,Россия,2071.51,-102.33,-4.71
2022,Россия,2291.61,220.11,10.63
2021,Россия,1829.19,-462.43,-20.18
2020,Россия,1493.08,-336.11,-18.37
2019,Россия,1693.12,200.04,13.40
2018,Россия,1657.33,-35.79,-2.11
2017,Россия,1574.20,-83.13,-5.02
2016,Россия,1276.79,-297.41,-18.89
2015,Россия,1363.48,86.70,6.79
2014,Россия,2059.24,695.76,51.03
2013,Россия,2292.47,233.23,11.33
2012,Россия,2208.29,-84.18,-3.67
2011,Россия,2045.92,-162.37,-7.35
2010,Россия,1524.92,-521.01,-25.47
2009,Россия,1222.65,-302.27,-19.82
2008,Россия,1660.85,438.20,35.84
2007,Россия,1299.70,-361.14,-21.74
2006,Россия,989.93,-309.77,-23.83
2005,Россия,764.02,-225.92,-22.82
2004,Россия,591.02,-173.00,-22.64
2003,Россия,430.35,-160.67,-27.19
2002,Россия,345.47,-84.88,-19.72
2001,Россия,306.60,-38.87,-11.25
2000,Россия,259.71,-46.89,-15.29
1999,Россия,195.91,-63.80,-24.57
1998,Россия,270.96,75.05,38.31
1997,Россия,404.93,133.97,49.44
1996,Россия,391.72,-13.20,-3.26
1995,Россия,395.54,3.81,0.97
1994,Россия,395.08,-0.46,-0.12
1993,Россия,435.08,40.01,10.13
1992,Россия,460.29,25.21,5.79
1991,Россия,517.96,57.67,12.53
1990,Россия,517.01,-0.95,-0.18
1989,Россия,506.63,-10.38,-2.01
1988,Россия,554.83,48.20,9.51
